"t","a","v","w","sv","sw","wienr","err"
0.980172889120877,1.5,-0.2,0.7,2,0.4,0.0882253720501782,1.00013877787808e-13
1.50603764917469,2.5,4,0.7,0.5,0.4,1.89277846169852e-07,1.00022314130083e-13
1.04612737240968,1,4,0.5,1,0.4,8.04886408913457e-05,1e-13
0.707218683511019,1.5,0.5,0.7,2,0.05,0.18109875462678,1.00027755575616e-13
2.49920702272793,0.6,0,0.5,0.5,0.2,8.97450103681392e-15,1e-13
1.63856551260687,0.6,1.5,0.5,2,0.2,4.15421736686968e-10,1.00000000000362e-13
0.34115879010642,1,-1,0.7,2,0.2,0.560256078002921,1e-13
0.373290920373984,1,0,0.5,1,0.05,0.464909082018607,1e-13
1.74287234159419,2.5,4,0.3,2,0.2,0.00511187608008417,1e-13
1.63705623097485,1.5,-0.2,0.7,1,0.4,0.0233332184089934,1e-13
1.4881396863726,1,1.5,0.3,0.5,0.2,0.000294149733556667,1e-13
0.99172890187474,1.5,4,0.7,2,0.4,0.00734653749663865,1.00000867361738e-13
2.05536535003921,0.6,-3,0.3,1,0.05,1.36244288235021e-13,1e-13
2.59164729535114,1.5,4,0.7,2,0.2,0.000151859347912207,1.00000027105054e-13
2.54903067672858,1,0,0.3,0.5,0.2,6.77882942303063e-06,1e-13
0.838457177637611,1,1.5,0.7,2,0.2,0.0151428077176634,1e-13
1.83594004518818,1,-1,0.3,1,0.4,0.000136482337338653,1.00000081315163e-13
2.50131443566643,2.5,4,0.3,2,0.2,0.0023088135262347,1e-13
1.7954072200926,1.5,0,0.3,1,0.4,0.0129412133879266,1.00001734723476e-13
0.636577064415906,2.5,0,0.3,1,0.2,0.342999671599895,1.00055511151231e-13
2.32930864288937,1,-0.2,0.5,1,0.2,1.82074805201691e-05,1e-13
0.419119452708401,1,-0.2,0.7,0.5,0.2,0.355646120865467,1e-13
2.67022222474916,0.6,-1,0.7,1,0.4,3.47131739142365e-16,1e-13
0.962572947959416,0.6,-3,0.5,0.5,0.4,8.78194820342552e-07,1.00000000105879e-13
1.96535523036728,1,0.5,0.3,0.5,0.4,9.16509624120653e-05,1.00000027105054e-13
0.824063439026941,0.6,1.5,0.7,1,0.2,2.86401968776659e-05,1.00000003388132e-13
0.52661200305447,0.6,4,0.3,0.5,0.05,6.23294157189992e-05,1.00000027105054e-13
0.3612455418217,0.6,1.5,0.7,0.5,0.4,0.0181379378960573,1.00003469446952e-13
1.34115715795197,0.6,-1,0.7,2,0.2,2.89664426544927e-08,1.00000000013235e-13
0.163636201189365,0.6,0.5,0.7,1,0.4,0.575583567482293,1e-13
2.8780970741529,0.6,1.5,0.7,0.5,0.05,4.22196249840281e-18,1e-13
1.54783929713303,0.6,-3,0.5,1,0.4,2.95139791259349e-10,1e-13
1.11880647620419,1,0,0.3,0.5,0.4,0.00851083028029002,1.00001734723476e-13
2.64446092864964,2.5,0.5,0.7,0.5,0.4,0.0224122516776062,1e-13
2.27570152017288,1,1.5,0.3,1,0.05,7.52736913642501e-06,1.00000000847033e-13
2.2905522972811,1.5,0,0.5,1,0.2,0.00543342376318154,1.00000867361738e-13
2.6743213877664,0.6,0,0.7,1,0.4,4.2288146640393e-16,1e-13
0.582033032423351,2.5,-3,0.5,1,0.05,0.781159313769901,1.00222044604925e-13
2.37014113531914,1.5,0.5,0.5,1,0.4,0.00351717024918881,1.00000433680869e-13
1.66475536420476,1.5,-1,0.7,0.5,0.4,0.0287842227457531,1.00003469446952e-13
1.51746519686421,2.5,0,0.5,0.5,0.2,0.146586500414714,1.00027755575616e-13
0.370903874840587,1.5,-1,0.3,2,0.4,0.49057818976279,1.00111022302463e-13
1.78086423644563,1,-0.2,0.7,1,0.05,0.00026327936513657,1.00000054210109e-13
2.69710155463545,1,1.5,0.3,1,0.4,8.02588614791626e-07,1e-13
0.603667321964167,1.5,1.5,0.5,2,0.4,0.156882745955948,1e-13
1.61341977114789,1,-0.2,0.3,1,0.2,0.000555322311850223,1.00000108420217e-13
2.02633667637128,0.6,0.5,0.7,2,0.4,1.86680669886395e-12,1e-13
2.35963250623317,0.6,0,0.7,0.5,0.2,5.00593175930463e-14,1e-13
0.603726126661059,0.6,0.5,0.7,1,0.2,0.00123538223708244,1.00000433680869e-13
1.72088253553957,2.5,1.5,0.5,2,0.05,0.0421430454377626,1.00006938893904e-13
0.629978250176646,2.5,0,0.5,0.5,0.4,0.301340257307775,1.58120175339127e-13
0.956858057295904,1.5,-0.2,0.7,2,0.4,0.0945727756204914,1.00013877787808e-13
0.525210910663009,0.6,-3,0.3,1,0.2,0.00130047025128687,1e-13
0.340042407508008,1.5,4,0.7,0.5,0.4,0.00107883345395265,1.00578530279238e-13
0.809809979307465,2.5,-1,0.5,1,0.4,0.453777707167653,1.08659739592076e-13
1.05775537670124,2.5,1.5,0.7,1,0.05,0.0328077305470694,1.00006938893904e-13
2.56943667513551,2.5,-3,0.3,2,0.05,0.00774580405373007,1.00000867361738e-13
0.415593845490366,1.5,0.5,0.7,0.5,0.4,0.242165142195068,1.02137179322403e-13
1.07643391544698,0.6,-1,0.7,1,0.2,1.85069494032465e-06,1.00000000423516e-13
1.00642652095994,1.5,0,0.3,1,0.2,0.0914347800903691,1e-13
1.44199721944751,1,0,0.3,1,0.4,0.00126672362101778,1.00000433680869e-13
2.56103044223273,2.5,1.5,0.7,1,0.4,0.00875142716706115,1e-13
0.999966212850995,1,-1,0.3,1,0.05,0.0119560103815913,1e-13
1.69656413011253,0.6,-1,0.3,1,0.05,2.67907373995969e-10,1.00000000000052e-13
2.13185805811081,1,0.5,0.3,2,0.2,2.13458432197646e-05,1e-13
1.20267531672725,1.5,0.5,0.5,0.5,0.4,0.0579395424370884,1.00006938893904e-13
2.48150030517718,1,-0.2,0.5,0.5,0.4,1.16827143874392e-05,1.00000003388132e-13
2.72426769882441,1,-1,0.5,2,0.2,1.26122951283475e-06,1.00000000423516e-13
1.28049527665135,0.6,4,0.7,0.5,0.05,1.77830151792683e-11,1e-13
0.873439425230026,1.5,4,0.5,2,0.4,0.0127973417968051,1.00001734723476e-13
2.20791930324631,0.6,1.5,0.7,1,0.2,1.08508043539622e-13,1e-13
2.58844580528094,2.5,1.5,0.7,1,0.2,0.00892854742760588,1.00001734723476e-13
1.06099527956685,1.5,4,0.5,1,0.05,0.000412749798237731,1.00000054210109e-13
1.50412042785902,1.5,-3,0.5,1,0.4,0.00582574726080238,1e-13
2.56886717587477,1.5,1.5,0.7,0.5,0.2,0.000224757089337019,1.00000027105054e-13
1.19239635118283,0.6,0.5,0.3,0.5,0.05,4.11578398855775e-07,1.00000000105879e-13
2.193197208934,1,0.5,0.5,1,0.2,3.04396493104558e-05,1.00000010164395e-13
2.06815901569789,1,1.5,0.3,2,0.4,2.18413955923999e-05,1e-13
2.5443222334492,1,0.5,0.7,0.5,0.2,4.76300558062402e-06,1.00000000847033e-13
0.146763922390528,0.6,4,0.7,0.5,0.2,0.0606068382814994,1e-13
2.19896214420442,1,-0.2,0.7,0.5,0.2,4.30044073149394e-05,1.00000006776264e-13
1.45603534813272,1.5,-0.2,0.7,0.5,0.4,0.0463380211589423,1e-13
1.76658134175232,2.5,-3,0.3,1,0.05,0.00887125350739906,1e-13
0.660798893868923,1,0.5,0.5,2,0.4,0.0623283574528965,1.00006938893904e-13
0.135154719941784,1,0.5,0.5,2,0.4,1.40562774576873,1.11768364061027e-13
2.92112035629107,1,-1,0.3,0.5,0.2,5.40043355808128e-07,1e-13
0.77993396371603,2.5,4,0.5,1,0.05,0.000560391729206226,1.00000108420217e-13
0.403049181646202,0.6,4,0.3,2,0.4,0.00362737546225284,1.00000433680869e-13
