"t","a","v","w","sv","sw","st0","wienr","rtd3"
0.832973695930559,1,-1,0.3,1,0.05,0.25,0.348961791212215,0.348962926658506
0.835561013303231,1,1.5,0.7,1,0.2,0.1,0.0764435573513955,0.0764548710461053
2.66968169353204,1,1.5,0.5,1,0.05,0.25,1.09220258123269e-05,1.09225089796807e-05
2.56578458797885,2.5,-1,0.3,2,0.05,0.25,0.0268751799030956,0.0268754931866333
2.66343337767758,0.6,-1,0.5,0.5,0.05,0.25,3.13678407414026e-13,3.13656903272193e-13
2.28034699794371,1,-1,0.7,1,0.2,0.25,0.000168400497830161,0.000168449861200866
1.46540797211928,0.6,0,0.5,1,0.4,0.1,1.42349962863932e-06,1.42367572732641e-06
0.375272553961258,2.5,1.5,0.7,0.5,0.05,0.25,1.04046963067512e-10,9.73530962506518e-11
3.16822218338493,0.6,0.5,0.3,0.5,0.05,0.1,7.54054645843576e-17,7.54010329865152e-17
2.82391763621708,1.5,-0.2,0.3,0.5,0.05,0.1,0.00407547991882409,0.00407568101211269
0.97960356582189,2.5,0.5,0.3,0.5,0.05,0.25,0.297875685741376,0.297914347515824
1.80940499095013,0.6,-3,0.5,2,0.4,0.1,3.12338676085629e-09,3.12374715211287e-09
2.22692055603256,2.5,1.5,0.3,2,0.05,0.25,0.0277060212154036,0.0277070050923283
3.06721960965078,1.5,-0.2,0.7,1,0.4,0.1,0.00169717462443822,0.00169768161899585
0.384644920250867,1,0.5,0.7,2,0.2,0.25,0.101648788406676,0.101491625804715
1.13883860558271,1.5,0,0.3,2,0.05,0.25,0.140109977490374,0.140113193608664
1.63493770011701,0.6,-3,0.3,2,0.4,0.1,2.83183444742019e-08,2.83203562809074e-08
2.79692792947171,1,1.5,0.7,1,0.2,0.1,2.77043211224896e-06,2.77099615682026e-06
2.91928491357248,2.5,1.5,0.3,0.5,0.05,0.1,0.00379481640492232,0.0037951618506044
1.09065343046095,1,4,0.7,0.5,0.4,0.25,0.000127472494760857,0.000127421283412444
1.30685683273477,2.5,0,0.5,1,0.4,0.1,0.237173591156374,0.237222750364839
1.25340154516743,0.6,0.5,0.3,0.5,0.05,0.1,2.45368988919282e-05,2.45354669658491e-05
0.893632003548555,0.6,0,0.7,2,0.2,0.1,0.00275136378260896,0.00275175188149216
2.35593332861317,0.6,-3,0.5,1,0.2,0.25,1.88391840868507e-12,1.88409749443428e-12
2.61069613725413,1.5,1.5,0.5,1,0.05,0.1,0.00192515295318205,0.00192525923843949
2.36229006998474,1.5,0,0.3,2,0.05,0.25,0.00579820053196869,0.00579845374071878
0.966935836931225,2.5,-0.2,0.7,1,0.2,0.25,0.273510296912652,0.2734970505539
2.45023409489077,1.5,-0.2,0.7,1,0.2,0.1,0.00794629510789692,0.0079486711968211
2.13562964719022,0.6,0.5,0.5,1,0.2,0.25,4.81241984598516e-10,4.81299914883536e-10
1.35464965486899,1,0,0.7,1,0.05,0.1,0.014406334924399,0.0144070862844332
0.471452446770854,0.6,1.5,0.5,1,0.2,0.25,1.09606761806991,1.09596642076957
1.53516990275821,1.5,0.5,0.7,1,0.05,0.25,0.065443724018199,0.0654478913166243
0.583225954324007,1,-3,0.3,1,0.4,0.1,0.7796966510268,0.779547129353952
1.27203031885438,1,0,0.5,2,0.05,0.1,0.0172573957790887,0.0172580397503306
1.30897401062539,0.6,-1,0.7,0.5,0.4,0.1,1.20417594502265e-05,1.20439332579457e-05
0.581181048892904,1,0,0.3,1,0.2,0.25,1.84411390488611,1.84492086738549
0.79314832331147,2.5,-3,0.3,2,0.2,0.25,0.886940358448435,0.886987983334168
0.79965395530453,2.5,-1,0.7,2,0.2,0.25,0.647164536122425,0.647206692968378
3.04459962316323,1.5,0.5,0.7,0.5,0.4,0.1,0.0014537380979459,0.00145405922689979
2.42164605223807,1.5,1.5,0.3,1,0.2,0.1,0.00261957477890054,0.00262033538421181
2.7706175500527,2.5,-3,0.3,1,0.2,0.25,0.00328902744226492,0.00328802538673087
2.31341111757793,1,-0.2,0.3,2,0.4,0.25,8.07063239903425e-05,8.07232565534427e-05
0.987746085948311,1.5,-3,0.3,1,0.4,0.1,0.104643925457393,0.104611640826667
1.71603408823721,1,-3,0.5,0.5,0.2,0.1,0.00010452473535015,0.000104533009212739
2.46471649283776,1,-1,0.3,1,0.2,0.1,3.36005321146457e-05,3.36064901144458e-05
2.77545474000508,0.6,0.5,0.5,2,0.05,0.1,1.02271176273544e-14,1.02264483753054e-14
