"t","a","v","w","sv","sw","wienr","dv","dsv","da","dw","dsw"
1.38725660468917,0.6,-0.2,0.5,2,0.05,1.9398223232261e-08,-6.68366626886035e-11,-8.2175827237672e-09,1.16701687245354e-06,2.48307667162141e-09,-7.78977560519069e-10
0.812321183353197,1.5,1.5,0.3,2,0.4,0.0670293371718803,-0.0270837927000084,-0.00354489097563578,0.0778115792813327,0.160589463930426,-0.0179354568599185
1.04198455936275,2.5,-1,0.3,0.5,0.4,0.240549132375157,0.0322307786311115,-0.092141485023623,0.105788403350643,0.854896370566663,-0.00953519032381431
2.67426995228743,1.5,1.5,0.7,1,0.4,0.000526927859131941,-0.000718648904473927,0.000597627188454666,0.0033729140022521,-0.00129038025571448,-0.000152406436333454
0.645741581532639,0.6,0,0.3,0.5,0.2,0.000925867936776979,-0.000147191186489279,-0.000245285682942035,0.024243791406578,0.00213428387223006,-0.000150479182121592
1.75859882617369,0.6,-1,0.3,0.5,0.05,1.23106504340305e-10,1.34959188736916e-10,-1.21140286716802e-12,9.50872841352207e-09,3.34442232792609e-10,-3.91504822423937e-12
0.662514488189481,2.5,-1,0.7,0.5,0.2,0.547321421510212,-0.502077197125127,0.0788325817343761,-0.292600501428553,-1.18165967450559,-0.0680043004613196
0.880332937440835,0.6,0.5,0.3,1,0.05,2.67890068243572e-05,-8.83936490740615e-06,-9.62483291221802e-06,0.000986916565820959,5.84214403947093e-05,-1.1316864017503e-06
2.36952955204761,1,0.5,0.7,1,0.05,1.02540130147489e-05,-5.73422808162036e-06,-4.00398331377624e-06,0.000219721002934455,-2.27994829182656e-05,-4.20630459069322e-07
0.560407080559526,1,4,0.5,1,0.4,0.00260867045134777,-0.00453650076927966,0.00696520168981236,0.00645170765710369,-0.00512013304472743,-0.000444088193896527
1.73370517872972,2.5,-1,0.7,1,0.4,0.132786311050841,-0.000389751000454475,-0.0828475961744986,0.117101371554696,-0.0614942198966025,-0.0667082181401444
1.28688474163646,1,-1,0.5,0.5,0.4,0.0041234325300624,0.00242143458282299,-0.00128158441154096,0.0459315711629254,0.00304388146396259,-0.00128202439333897
0.83948538718978,1.5,0.5,0.3,2,0.2,0.0872808587724389,-0.0176894940140422,-0.0263893393750263,0.112310089165745,0.234568594426177,-0.00866387564150674
0.191037853329908,1.5,0.5,0.3,0.5,0.05,0.996511732714046,-0.518614124361557,0.044316458773,-0.151195087828069,-0.740939396372425,-0.0905301655904145
0.355304509098642,0.6,-1,0.3,1,0.05,0.047120735252214,0.00608273397410072,-0.0115659689263133,0.620268333566466,0.132098350854408,-0.00136452148268254
0.976392794214189,1.5,-1,0.3,0.5,0.05,0.118181531901868,0.0498969894289588,-0.0358243411443125,0.215494784911636,0.425876246072097,-0.000816623050478582
2.41189113350119,0.6,0,0.7,0.5,0.4,2.31458056888573e-14,-5.79751066586087e-15,-1.6668056203589e-14,2.47464002266696e-12,-5.21488806703156e-14,-7.9297764374395e-15
0.726507851493079,0.6,0.5,0.7,2,0.05,0.000171077955329559,-3.4293763411254e-05,-4.9889249199001e-05,0.00514499564722272,-0.000359601370180562,-7.34283907094025e-06
0.678345400129911,1,1.5,0.5,0.5,0.4,0.0271945344843117,-0.0349404981218872,0.0146843351992117,0.112201083062594,-0.0277552129371569,-0.00790582991416393
2.63744767231401,0.6,-3,0.5,1,0.4,4.23701309038459e-17,8.86230162071256e-17,1.5466004256017e-16,4.98446582583389e-15,1.99747894297682e-17,-1.3824225246634e-17
2.98000479170587,1,-0.2,0.5,2,0.4,3.50776488871792e-07,2.54804867888493e-09,-1.61723255704614e-07,9.64677988590629e-06,5.18745518278981e-08,-1.15032939725556e-07
2.54052870855667,1.5,-1,0.7,2,0.4,0.00141693163495716,0.000193620354763548,-0.000591470455948734,0.00908151757517126,-0.00248028386465073,-0.00058804076724245
2.73578782021068,1,-3,0.7,2,0.2,4.56323451120956e-07,2.87073720161328e-07,1.52159969573612e-07,1.15622329239592e-05,-8.32141312297269e-07,-8.84931747297985e-08
