"t","a","v","w","sv","sw","wienr","err","p3","p4","p5","p6","p8"
1.57000703727826,1.5,-3,0.3,1,0.05,0.0025355946916346,1.00000433680869e-13,0.00253552493030446,0.00253555004807456,0.00253559033248763,0.00253559414055657,0.00253559468252201
1.67096798787825,1,-0.2,0.5,1,0.05,0.000541242992415419,1e-13,0.000541276216256932,0.000541264255408399,0.000541245068837968,0.000541243254915744,0.000541242996754704
0.532973695930559,1,-1,0.3,1,0.05,0.155778591270462,1.00027755575616e-13,0.155783322422457,0.155781619243422,0.155778886976537,0.155778628653618,0.155778591888431
0.535561013303231,1,1.5,0.7,1,0.2,0.0576740161997554,1.00013877787808e-13,0.0576839273172283,0.0576752152526019,0.0576741663293276,0.0576740355611073,0.0576740165219884
2.36968169353204,1,1.5,0.5,1,0.05,5.37261412222103e-06,1e-13,5.37294594647574e-06,5.37282648698665e-06,5.37263486053568e-06,5.37261674394845e-06,5.37261416555973e-06
2.26578458797885,2.5,-1,0.3,2,0.05,0.0233118387799121,1.00006938893904e-13,0.023312185466098,0.0233120606710811,0.0233118604509773,0.0233118415197135,0.0233118388253474
2.36343337767758,0.6,-1,0.5,0.5,0.05,3.40358183615853e-14,1e-13,3.40379566657807e-14,3.40371868566236e-14,3.40359520005993e-14,3.40358352561577e-14,3.40358186408607e-14
1.98034699794371,1,-1,0.7,1,0.2,8.10212488139611e-05,1.00000040657581e-13,8.1046303538066e-05,8.10242795802128e-05,8.10216282809467e-05,8.10212977515564e-05,8.10212496284414e-05
1.16540797211928,0.6,0,0.5,1,0.4,6.54171424880277e-07,1.00000000105879e-13,6.5433743005166e-07,6.54190660340108e-07,6.54173939106641e-07,6.54171747341068e-07,6.54171430276822e-07
0.0752725539612584,2.5,1.5,0.7,0.5,0.05,6.95777105307801e-09,1.0000000002068e-13,6.80906598632917e-09,6.86213447292536e-09,6.94835790066882e-09,6.95658015843586e-09,6.95775136477531e-09
2.86822218338493,0.6,0.5,0.3,0.5,0.05,3.49439674213848e-17,1e-13,3.49463603984927e-17,3.49454989011981e-17,3.49441169759609e-17,3.49439863279904e-17,3.49439677339237e-17
2.52391763621708,1.5,-0.2,0.3,0.5,0.05,0.00362684515054722,1.00000867361738e-13,0.00362703716703384,0.00362696803986674,0.00362685715126438,0.00362684666767265,0.00362684517562631
0.67960356582189,2.5,0.5,0.3,0.5,0.05,0.233493953234412,1.00027755575616e-13,0.233522795035727,0.23351241149143,0.233495755720899,0.23349418110338,0.233493957001223
1.50940499095013,0.6,-3,0.5,2,0.4,1.41502060355757e-09,1.00000000000827e-13,1.41537535946109e-09,1.41506171058155e-09,1.41502597657763e-09,1.4150212926716e-09,1.41502061509026e-09
1.92692055603256,2.5,1.5,0.3,2,0.05,0.0240249666323387,1.00003469446952e-13,0.0240258506049185,0.0240255323835468,0.0240250218898257,0.0240249736251888,0.0240249667560424
2.76721960965078,1.5,-0.2,0.7,1,0.4,0.00150314996821164,1e-13,0.00150360387051337,0.00150320256417571,0.00150315684293543,0.00150315084992601,0.00150314998296728
0.0846449202508666,1,0.5,0.7,2,0.2,0.88093930135597,1e-13,0.880636423172863,0.880902697115785,0.88093471883109,0.88093871038319,0.880939291520071
0.838838605582714,1.5,0,0.3,2,0.05,0.095201458529807,1.00013877787808e-13,0.0952045090034577,0.0952034108573436,0.0952016491908524,0.0952014826334194,0.095201458928531
1.33493770011701,0.6,-3,0.3,2,0.4,1.2801866907043e-08,1.00000000009926e-13,1.28045382747448e-08,1.28021764598769e-08,1.28019073682538e-08,1.28018720963772e-08,1.28018669938881e-08
2.49692792947171,1,1.5,0.7,1,0.2,2.12299962138036e-06,1.00000000423516e-13,2.12347010321076e-06,2.12305653531735e-06,2.12300674731354e-06,2.12300054036994e-06,2.1229996366753e-06
2.61928491357248,2.5,1.5,0.3,0.5,0.05,0.00357252014243544,1.00001301042607e-13,0.00357284889150392,0.0035727305441488,0.00357254068983983,0.00357252274003786,0.00357252018537576
0.790653430460952,1,4,0.7,0.5,0.4,2.65687560837094e-05,1.00000013552527e-13,2.65608409332651e-05,2.65678392985224e-05,2.65686362580824e-05,2.65687407156294e-05,2.6568755826511e-05
1.00685683273477,2.5,0,0.5,1,0.4,0.223499230302676,1.0152655665886e-13,0.22354487697586,0.223504520074809,0.22349992149661,0.223499318707516,0.223499231506505
0.953401545167435,0.6,0.5,0.3,0.5,0.05,1.13280217489851e-05,1.00000001694066e-13,1.13288149932832e-05,1.13285294168475e-05,1.1328071324595e-05,1.13280280163055e-05,1.13280218525878e-05
0.593632003548555,0.6,0,0.7,2,0.2,0.00122543448529219,1.00000433680869e-13,0.00122577784170103,0.00122547601991254,0.00122543968563621,0.00122543515594963,0.0012254344964541
2.05593332861317,0.6,-3,0.5,1,0.2,1.86883473104428e-13,1e-13,1.86929067104469e-13,1.86888988573385e-13,1.86884163670824e-13,1.86883562162706e-13,1.86883474586667e-13
2.31069613725413,1.5,1.5,0.5,1,0.05,0.00170584120651138,1e-13,0.00170594202326029,0.00170590572862152,0.00170584750740326,0.00170584200306742,0.00170584121967892
2.06229006998474,1.5,0,0.3,2,0.05,0.00420913194575463,1e-13,0.00420933699494345,0.00420926317666507,0.00420914476118384,0.00420913356587694,0.00420913197253626
0.666935836931225,2.5,-0.2,0.7,1,0.2,0.302224475302868,1e-13,0.302262011365917,0.302229022429409,0.302225044724494,0.302224548739371,0.30222447652508
2.15023409489077,1.5,-0.2,0.7,1,0.2,0.00701863011669553,1.00000867361738e-13,0.00702075267215685,0.00701888688188329,0.00701866226509939,0.00701863426268563,0.00701863018569828
1.83562964719022,0.6,0.5,0.5,1,0.2,5.34965300073708e-11,1.00000000000058e-13,5.35101144658981e-11,5.34981732526473e-11,5.34967357496812e-11,5.34965565407263e-11,5.3496530448973e-11
1.05464965486899,1,0,0.7,1,0.05,0.0109585875585595,1.00003469446952e-13,0.0109593599003528,0.0109590818506679,0.0109586358282332,0.0109585936607874,0.0109585876594332
0.171452446770854,0.6,1.5,0.5,1,0.2,0.454431706430329,1.00111022302463e-13,0.454540791265076,0.454444902515612,0.454433358653951,0.454431919507901,0.454431709976661
1.23516990275821,1.5,0.5,0.7,1,0.05,0.0474331142744417,1e-13,0.0474363255968179,0.0474351695027581,0.0474333149775112,0.0474331396472404,0.0474331146938697
0.283225954324007,1,-3,0.3,1,0.4,0.464837900440668,1.00277555756156e-13,0.464771439353821,0.464830204144184,0.46483689454442,0.464837771431164,0.464837898281614
