"set","method","us_per_trial","n","n_acc","rel_diff"
13,"WienR 1e-12",1127.93788,200,200,5.71701220808407e-08
13,"WienR 1e-12 + 5 grads",8919.68448,200,200,5.71701220808407e-08
14,"ours 1e-12 (density + 7 grads)",10.9137695,1000,1000,0
14,"rtdists precision=3",4.807537,1000,1000,0.018899435880441
14,"rtdists precision=5",315.12682,100,100,8.57670559282209e-05
14,"rtdists precision=8",149875.80668,25,50,1.38857091824818e-07
14,"WienR 5e-3 (EMC2 default)",4.7403585,1000,1000,0.00181174454245503
14,"WienR 1e-4",5.247221,1000,1000,6.26188374038827e-05
14,"WienR 1e-8",45.8841865,1000,1000,6.17507422973063e-09
14,"WienR 1e-12",596.95795,200,200,1.92443838642475e-11
14,"WienR 1e-12 + 5 grads",5240.916635,200,200,1.92443838642475e-11
15,"ours 1e-12 (density + 7 grads)",10.6416115,1000,1000,0
15,"rtdists precision=3",39.738922,1000,1000,0.00559220728999243
15,"rtdists precision=5",2398.72304,100,100,8.69437742172519e-05
15,"rtdists precision=8",1168443.1494,25,50,7.73086165084536e-08
15,"WienR 5e-3 (EMC2 default)",19.8769025,1000,1000,0.0274006111129295
15,"WienR 1e-4",72.672008,1000,1000,0.021275815753385
15,"WienR 1e-8",950.1974475,1000,1000,1.35206299267665e-07
15,"WienR 1e-12",1304.022015,200,200,8.569262188729e-09
15,"WienR 1e-12 + 5 grads",9712.092915,200,200,8.569262188729e-09
16,"ours 1e-12 (density + 7 grads)",11.474342,1000,1000,0
16,"rtdists precision=3",10.934413,1000,1000,1
16,"rtdists precision=5",430.06581,100,100,0.00101369203276958
16,"rtdists precision=8",195323.21444,25,50,1.27540504157864e-07
16,"WienR 5e-3 (EMC2 default)",22.178335,1000,1000,0.268843262122955
16,"WienR 1e-4",41.6112075,1000,1000,0.268843262122955
16,"WienR 1e-8",637.6095525,1000,1000,0.268843262122955
16,"WienR 1e-12",1115.20861,200,200,9.95436290063267e-07
16,"WienR 1e-12 + 5 grads",8460.298135,200,200,9.95436290063267e-07
17,"ours 1e-12 (density + 7 grads)",10.810306,1000,1000,0
17,"rtdists precision=3",22.6738815,1000,1000,0.0411405214087287
17,"rtdists precision=5",1478.28452,100,100,5.60530562293549e-05
17,"rtdists precision=8",705226.14324,25,50,1.17019963385978e-07
17,"WienR 5e-3 (EMC2 default)",11.61612,1000,1000,0.0147032752305339
17,"WienR 1e-4",34.365667,1000,1000,0.00485965686626988
17,"WienR 1e-8",602.548669,1000,1000,4.49865655838266e-09
17,"WienR 1e-12",1313.419625,200,200,5.30897659167806e-10
17,"WienR 1e-12 + 5 grads",9722.87694,200,200,5.30897659167806e-10
18,"ours 1e-12 (density + 7 grads)",10.369556,1000,1000,0
18,"rtdists precision=3",19.919194,1000,1000,0.0278299449268822
18,"rtdists precision=5",1297.61228,100,100,2.31461737298932e-05
18,"rtdists precision=8",628769.69092,25,50,9.24327947515735e-09
18,"WienR 5e-3 (EMC2 default)",7.4493515,1000,1000,0.0487911134935208
18,"WienR 1e-4",22.9834725,1000,1000,0.000193900458741236
18,"WienR 1e-8",365.351041,1000,1000,9.8903737644207e-08
18,"WienR 1e-12",1155.169875,200,200,1.48477663497459e-09
18,"WienR 1e-12 + 5 grads",8743.6682,200,200,1.48477663497459e-09
19,"ours 1e-12 (density + 7 grads)",9.542586,1000,1000,0
19,"rtdists precision=3",26.5676105,1000,1000,0.0115439614214642
19,"rtdists precision=5",1660.56437,100,100,2.38137874700728e-05
19,"rtdists precision=8",795410.55012,25,50,4.66016490952015e-08
19,"WienR 5e-3 (EMC2 default)",7.5415195,1000,1000,0.0104580763027873
19,"WienR 1e-4",21.609419,1000,1000,0.0014465290070671
19,"WienR 1e-8",401.0335255,1000,1000,5.25274983509405e-08
19,"WienR 1e-12",1115.60221,200,200,1.51274548443325e-10
19,"WienR 1e-12 + 5 grads",8409.48171,200,200,1.51274548443325e-10
20,"ours 1e-12 (density + 7 grads)",10.733636,1000,1000,0
20,"rtdists precision=3",140.2787735,1000,1000,0.022474736157624
20,"rtdists precision=5",8307.64427,100,100,7.50785468138782e-05
20,"rtdists precision=8",4167602.34488,25,50,2.01529567478431e-08
20,"WienR 5e-3 (EMC2 default)",12.7572525,1000,1000,0.0530702496165031
20,"WienR 1e-4",48.1020815,1000,1000,0.00834128116132427
20,"WienR 1e-8",670.54147,1000,1000,9.06937174249833e-08
20,"WienR 1e-12",1267.745215,200,200,6.35788932612513e-09
20,"WienR 1e-12 + 5 grads",9493.677305,200,200,6.35788932612513e-09
21,"ours 1e-12 (density + 7 grads)",11.327029,1000,1000,0
21,"rtdists precision=3",35.1090175,1000,1000,0.0187891095535124
21,"rtdists precision=5",2209.72124,100,100,6.88041248451121e-05
21,"rtdists precision=8",1077934.45138,25,50,3.62429988243207e-08
21,"WienR 5e-3 (EMC2 default)",5.522044,1000,1000,0.0288621984145816
21,"WienR 1e-4",12.2537725,1000,1000,0.00942367928457044
21,"WienR 1e-8",224.4459105,1000,1000,2.91731268031725e-08
21,"WienR 1e-12",1005.076665,200,200,1.83595805225423e-10
21,"WienR 1e-12 + 5 grads",7946.372565,200,200,1.83595805225423e-10
22,"ours 1e-12 (density + 7 grads)",10.623059,1000,1000,0
22,"rtdists precision=3",24.1746045,1000,1000,0.0414487312723906
