set,method,us_per_trial,rel_diff
74,hddm-wfpt err=1e-8,515.9948,6.201e-07
74,hddm-wfpt err=1e-4,489.6632,6.201e-07
75,ours 1e-12 (density + 7 grads),8.8821,0.000e+00
75,ours 1e-8,8.1610,2.003e-13
75,hddm-wfpt err=1e-8,1663.0383,1.056e-06
75,hddm-wfpt err=1e-4,1573.1368,1.056e-06
76,ours 1e-12 (density + 7 grads),10.0867,0.000e+00
76,ours 1e-8,9.1467,1.612e-11
76,hddm-wfpt err=1e-8,1858.5022,2.025e-06
76,hddm-wfpt err=1e-4,1774.9969,2.025e-06
77,ours 1e-12 (density + 7 grads),10.9453,0.000e+00
77,ours 1e-8,9.7559,1.030e-11
77,hddm-wfpt err=1e-8,760.3136,1.303e-06
77,hddm-wfpt err=1e-4,712.5200,1.303e-06
78,ours 1e-12 (density + 7 grads),10.1037,0.000e+00
78,ours 1e-8,9.1576,1.885e-11
78,hddm-wfpt err=1e-8,1368.5466,8.448e-07
78,hddm-wfpt err=1e-4,1311.3720,8.461e-07
79,ours 1e-12 (density + 7 grads),9.4505,0.000e+00
79,ours 1e-8,8.6458,2.510e-12
79,hddm-wfpt err=1e-8,1989.2772,2.392e-07
79,hddm-wfpt err=1e-4,1878.4301,2.343e-07
80,ours 1e-12 (density + 7 grads),8.8123,0.000e+00
80,ours 1e-8,8.1631,1.240e-13
80,hddm-wfpt err=1e-8,2489.5606,2.701e-07
80,hddm-wfpt err=1e-4,2370.6668,2.697e-07
81,ours 1e-12 (density + 7 grads),9.4849,0.000e+00
81,ours 1e-8,8.7596,2.864e-13
81,hddm-wfpt err=1e-8,1838.2142,4.806e-08
81,hddm-wfpt err=1e-4,1756.5215,4.623e-08
82,ours 1e-12 (density + 7 grads),10.6115,0.000e+00
82,ours 1e-8,9.4541,1.050e-12
82,hddm-wfpt err=1e-8,339.7120,3.750e-07
82,hddm-wfpt err=1e-4,317.0635,3.750e-07
83,ours 1e-12 (density + 7 grads),10.6877,0.000e+00
83,ours 1e-8,9.6256,1.390e-11
